"slug","name","activity_slug","round_or_number","author_slugs","keyword_slugs","puzzle_page","solution_page"
"case-resolve","结案","ccbc-11","Final Meta","es,yao-yu","meta-matching","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/fm","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/fm"
"1-11-summary","1-11小结","ccbc-11","Meta 1","es,yao-yu","crossword","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/m1","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/m1"
"12-21-summary","12-21小结","ccbc-11","Meta 2","es","masyu","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/m2","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/m2"
"22-30-summary","22-30小结","ccbc-11","Meta 3","es","coordinate,arrow-liang","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/m3","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/m3"
"crime-tool","作案工具","ccbc-11","Meta 4","es","ternary,probability","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/m4","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/m4"
"crime-motivation","作案动机","ccbc-11","Meta 5","yao-yu","detective-comics","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/m5","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/m5"
"crime-venue","作案地点","ccbc-11","Meta 6","yao-yu","pigpen,braille","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/m6","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/m6"
"crime-time","作案时间","ccbc-11","Meta 7","es,yao-yu,diao","futoshiki,world-of-warcraft","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/m7","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/m7"
"crime-target","作案目标","ccbc-11","Meta 8","yao-yu","meta-matching","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/m8","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/m8"
"case-summary","案情总结","ccbc-11","Meta Meta","es,yao-yu","japanese,shikaku,pictography","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/mm","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/mm"
"clue-1","#1 双色数独","ccbc-11","R1-#1","es","semaphore,sudoku","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/1","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/1"
"clue-10","#10 神秘的格子","ccbc-11","R1-#10","yao-yu","morse-code,drop-quote,international-chess,jump-horse","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/10","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/10"
"clue-11","#11 《蓝月公主》","ccbc-11","R1-#11","yao-yu","single-table,malisu-wen-xue","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/11","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/11"
"clue-2","#2 世界地图","ccbc-11","R1-#2","yao-yu","morse-code,national-flag","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/2","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/2"
"clue-3","#3 大学生日记","ccbc-11","R1-#3","es","probability,mahjong,three-kingdoms-kill,card-game,dice","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/3","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/3"
"clue-4","#4 生物实验数据","ccbc-11","R1-#4","yao-yu","xor,amino-acid,pictography","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/4","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/4"
"clue-5","#5 手机里的数字","ccbc-11","R1-#5","yao-yu,diao","9-keyboard,area-code","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/5","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/5"
"clue-6","#6 神秘的魔方","ccbc-11","R1-#6","yao-yu,little-si","rubic-cube","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/6","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/6"
"clue-7","#7 二次元MV","ccbc-11","R1-#7","yao-yu","music-video","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/7","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/7"
"clue-8","#8 数学草稿纸","ccbc-11","R1-#8","es","roman-numeral,series","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/8","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/8"
"clue-9","#9 手工作业","ccbc-11","R1-#9","yao-yu","paper-folding,pictography","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/9","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/9"
"clue-12","#12 神秘的占卜","ccbc-11","R2-#12","es","braille,significance-of-8-gua","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/12","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/12"
"clue-13","#13 积和扫雷","ccbc-11","R2-#13","es,seven","calculate,minesweeper,pictography,logic-tui-li","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/13","https://archive.cipherpuzzles.com/index.html#/problem?c=ccbc11/problems/13"
